"","date","low_bound","up_bound","cumcase_predicted"
"109",111,109835112.115421,10329506261.5126,981730701.141769
"110",112,120117711.839719,12604413998.5859,1130671929.47374
"111",113,129329019.720591,14513251494.8614,1258465342.94802
"112",114,139980317.911379,17000218424.1504,1415216174.58008
"113",115,150684812.147243,19517727396.9062,1572770907.71774
"114",116,162743183.140717,22748546813.9117,1761950148.87201
"115",117,173142685.435976,25791949144.2577,1933183144.72173
"116",118,184029600.103087,28605080842.6786,2099946474.23622
"117",119,200657920.863596,34049666885.7821,2387904919.05181
"118",120,217267125.70725,39648989634.7622,2678918633.3708
"119",121,235114611.618079,46207829511.3237,3005589471.76788
"120",122,256300614.594706,54347291230.2893,3400727575.03543
"121",123,280038839.993716,64172034297.6678,3855125108.66033
"122",124,300259193.589017,73738794662.3658,4274830265.67259
"123",125,318970069.821407,81350145716.6752,4630662858.34308
"124",126,342690738.233619,92714885776.4878,5121261687.31569
"125",127,372818233.763896,111122742682.237,5831455851.07757
"126",128,417577669.890455,136026414604.326,6830986858.76723
"127",129,455907995.959386,161324765290.296,7767840046.77984
"128",130,502971315.020112,187827248102.872,8801577622.89583
"129",131,538544426.336151,212870616472.727,9690434623.51038
"130",132,574171047.519809,234528476506.994,10514832620.7147
"131",133,616546498.900694,269625215191.013,11665235307.6771
"132",134,668302382.396417,313450794469.746,13078501584.9147
"133",135,721943197.65994,351699456117.098,14427885615.2347
"134",136,799851953.649945,445932272628.518,17006397082.0856
"135",137,884978256.353434,518775436296.318,19298179776.1117
"136",138,955961941.902481,587546893872.953,21367269550.6927
"137",139,1037867645.61567,690303523168.644,24101080842.2146
"138",140,1132050374.55585,817801748414.294,27370787831.0996
"139",141,1237075603.21978,944375694366.187,30789780532.2218
"140",142,1373603696.19047,1176809842906.58,36092671140.3868
"141",143,1515327382.30518,1354834764938.09,40834584900.5416
"142",144,1699871500.11071,1690420701078.46,48234959119.9824
"143",145,1896081664.62895,2084278406339.24,56507523634.7799
"144",146,2096996056.20982,2520818112668.23,65379415829.4353
"145",147,2305303209.06025,2940133334509.09,74205412490.9267
"146",148,2552792211.6409,3614687217999.44,86519395485.1851
"147",149,2864965864.89189,4457666159400.75,101791111506.493
"148",150,3125068827.62078,4770923609319.16,110901761876.738
"149",151,3462573301.71362,5776296846714.28,128177885224.07
"150",152,3814747438.02457,6843843072081.34,146258148437.241
"151",153,4215440474.88268,8206201146962.79,168344797870.056
"152",154,4619092090.03517,9317239083779.97,188437849619.702
"153",155,5322181080.52773,13318803660569,239280416932.589
"154",156,5954258384.38863,16235227332158.3,279640719450.092
"155",157,6688687902.98542,19534600750125,325963457198.273
"156",158,7372100138.44448,22516983885804.1,368418415866.459
"157",159,8052504671.22822,25940198808007.3,413778947845.34
"158",160,8981549319.79654,30095663185967.4,473506105296.315
"159",161,9834109042.36021,34645454208600.9,532286630778.957
