"","newy","meantreat15","x","Date.closed.K.12.schools","Closed.non.essential.businesses","Mandate.face.mask.use.by.employees.in.public.facing.businesses","State.of.emergency","totalTestResults","id","days","newcase"
"104",-0.211520711486217,1,1,0,0,1,0,92500,1,104,224
"105",0.370796979162288,1,1,0,0,1,0,103117,1,105,325
"106",-0.245633836208282,1,1,0,0,1,0,106766,1,106,254
"107",0.333667185693605,1,1,0,0,1,0,109516,1,107,355
"108",-0.045985113241823,1,1,0,0,1,0,115173,1,108,339
"109",-0.179971379449001,1,1,0,0,1,0,120114,1,109,283
"110",-0.246296856288927,1,1,0,0,1,0,125494,1,110,221
"111",0.21772348384487,1,1,0,0,1,0,127421,1,111,275
"112",0.0867093990317258,1,1,0,0,1,0,129444,1,112,300
"113",-0.239050123613744,1,1,0,0,0,0,133218,1,113,236
"114",0.52839194748389,1,1,0,0,0,0,136372,1,114,401
"115",-0.386980293434061,1,1,0,0,0,0,141985,1,115,272
"116",0.10095522218991,1,1,0,0,0,0,146063,1,116,301
"117",-1.1254595387043,1,1,0,0,0,0,153494,1,117,97
"118",1.17077473491634,1,1,0,0,0,0,156350,1,118,315
"119",-0.0824189464154195,1,1,0,0,0,0,157123,1,119,290
"120",0.844348005740782,1,1,0,0,0,0,157566,1,120,676
"121",-1.04961113177714,1,1,0,0,0,0,164450,1,121,236
"122",0.479974848045514,1,1,0,0,0,0,170739,1,122,382
"123",0.156758243234339,1,1,0,0,0,0,177768,1,123,447
"124",-0.213149020589213,1,1,0,0,0,0,182676,1,124,361
"125",0.340803804724751,1,1,0,0,0,0,185799,1,125,508
"126",0.267339024105332,1,1,0,0,0,0,190315,1,126,664
"127",-0.551752051475209,1,1,0,0,0,0,193759,1,127,382
"128",0.264571106570873,1,1,0,0,0,0,195794,1,128,498
"129",0.00599402394021009,1,1,0,0,0,0,200481,1,129,501
"130",-0.422542368926357,1,1,0,0,0,0,208883,1,130,328
"131",0.590821568597273,1,1,0,0,0,0,212201,1,131,593
"132",0.133741808196051,1,1,0,0,0,0,217553,1,132,678
"133",-1.60064020173057,1,1,0,0,0,0,223523,1,133,136
"134",-0.465633629574618,1,1,0,0,0,0,223802,1,134,85
"135",0.948330085618772,1,1,0,0,0,0,231594,1,135,221
"136",0.353064831714633,1,1,0,0,0,0,235299,1,136,315
"137",0.731941804897698,1,1,0,0,0,0,239473,1,137,656
"138",-0.360814834370425,1,1,0,0,0,0,245644,1,138,457
"139",-0.0724298378448145,1,1,0,0,0,0,259566,1,139,425
"140",0.156160730755282,1,1,0,0,0,0,259991,1,140,497
"141",0.131521341696499,1,1,0,0,0,0,267739,1,141,567
"142",0.411316499876628,1,1,0,0,0,0,273057,1,142,856
"143",0.0104469899646551,1,1,0,0,0,0,278826,1,143,865
"144",0.0295812240175746,1,1,0,0,0,0,286385,1,144,891
"145",0.129177758895878,1,1,0,0,0,0,293252,1,145,1014
"146",-0.43343896015057,1,1,0,0,0,0,297455,1,146,657
"147",-0.0261754744046474,1,1,0,0,0,0,302674,1,147,640
"148",-0.469068029614101,1,1,0,0,0,0,305424,1,148,400
"149",0.802862290968286,1,1,0,0,0,0,310723,1,149,894
"150",-0.11596903948464,1,1,0,0,0,0,322534,1,150,796
"151",-0.374579391842199,1,1,0,0,0,0,331325,1,151,547
"152",NA,0,0,NA,NA,NA,NA,NA,2,1,0
"153",0,0,0,NA,NA,NA,NA,NA,2,2,0
"154",0,0,0,1,1,1,1,NA,2,3,0
"155",0,0,0,1,1,1,1,NA,2,4,0
"156",0,0,0,1,1,1,1,NA,2,5,0
"157",0,0,0,1,1,1,1,NA,2,6,0
"158",0,0,0,1,1,1,1,NA,2,7,0
"159",0,0,0,1,1,1,1,NA,2,8,0
"160",0,0,0,1,1,1,1,NA,2,9,0
"161",0,0,0,1,1,1,1,NA,2,10,0
"162",0,0,0,1,1,1,1,NA,2,11,0
"163",0,0,0,1,1,1,1,NA,2,12,0
"164",0,0,0,1,1,1,1,NA,2,13,0
