"","date","low_bound","up_bound","cumcase_predicted"
"110",112,1848620226.25236,265420937398.846,21448835189.5983
"111",113,2077657639.16162,319725175480.203,24957472320.4109
"112",114,2362580398.95152,395470678586.068,29595156497.7798
"113",115,2650243725.64729,474253129856.908,34323050648.8209
"114",116,3001485500.14572,583090162016.689,40491764959.1486
"115",117,3323668531.93734,690768071682.648,46374701040.4454
"116",118,3631439739.32419,788142900874.221,51757879277.7093
"117",119,4181043847.25946,999202007586.409,62479678331.1761
"118",120,4738034385.31193,1223472846551.58,73570834844.8476
"119",121,5370324457.55613,1500114663488.05,86713409210.0716
"120",122,6139650611.51488,1858412850498.83,103164273928.499
"121",123,7035276085.65942,2320522736527.73,123333564041.734
"122",124,7877970320.48072,2794136588452.33,143244788066.46
"123",125,8578494653.16485,3160337913047.66,158926734461.903
"124",126,9565503917.5699,3755439866156.19,182811592078.732
"125",127,11040447078.1509,4825241372001,222516104575.419
"126",128,13087519621.6523,6262152562369.22,275920740436.838
"127",129,15056276156.9204,7842894674166.37,331358484611.608
"128",130,17182315857.7739,9498858636798.44,389099246137.862
"129",131,19067608467.9002,11190301739558.3,444851575677.858
"130",132,20782856896.9765,12595910565004.1,492495034020.777
"131",133,23277700232.6075,15218380388928.7,572445589871.763
"132",134,26353818310.2492,18617086520462.5,673036196922.956
"133",135,29227572969.7517,21379170271986.2,759300913221.754
"134",136,35111596461.6829,29951978878551.6,984254891030.747
"135",137,40113268680.2952,36153783586123,1154321626758.12
"136",138,44710966178.0012,42202874097796.8,1316584720644.97
"137",139,51001794593.6747,52388095612797.7,1566295232743.26
"138",140,58605378089.1504,65631947993142,1879530141885.26
"139",141,66426679944.8669,78482452327450.4,2187765518280.88
"140",142,79135586905.0975,106152958893393,2776598892499.36
"141",143,90078938577.281,124838753040411,3214369227889.6
"142",144,108037205198.133,167548927225353,4078451133852.92
"143",145,128423046259.749,220674534415897,5107736087720.25
"144",146,150523999424.066,281915292280413,6259382530735.75
"145",147,172307466179.529,340052147749341,7361306010287.76
"146",148,203899498042.8,446780412881948,9190569023631.42
"147",149,243008858271.095,584813322567835,11488191736249.9
"148",150,264015077298.9,610785725591046,12238497829135.9
"149",151,308886788771.565,790224546251632,15030265621698
"150",152,356026231409.834,987523027312205,18017439938617.6
"151",153,414610962704.001,1249232558991955,21877585306259
"152",154,466496226950.869,1444782977353531,24958875066288.5
"153",155,610509045512.601,2410976054361423,36920196333682.8
"154",156,722177248374.205,3091024771631412,45551359140821.9
"155",157,849775812833.684,3865783504713235,55313602172988.7
"156",158,966703679540.821,4571450042339893,64163476660300.7
"157",159,1094171303741.6,5447671781981186,74517198577625.9
"158",160,1258646105639.77,6419893343039197,86811659421984.4
"159",161,1258646123437.77,6419893343056995,86811659439782.4
