"","date","low_bound","up_bound","cumcase_predicted"
"107",109,517976.37245117,634164.598165006,565691.7772584
"108",110,522200.069287906,639091.618964026,570186.443854992
"109",111,528141.748830252,645705.194572768,576383.308987964
"110",112,533262.045065214,651610.935524336,581805.498414423
"111",113,537244.517538139,656434.324450657,586108.890049635
"112",114,542306.229500604,662355.405837441,591500.23225571
"113",115,546955.190673238,667820.347685351,596459.783357116
"114",116,550927.247547357,672832.938361471,600831.765987509
"115",117,553734.805260474,676341.671439783,603906.652036859
"116",118,557277.235660963,680600.878614301,607719.352710493
"117",119,561160.763868371,685391.268705991,611944.274518005
"118",120,564971.719950788,690105.274854619,616098.002125428
"119",121,568265.826678784,694316.410584937,619739.272999497
"120",122,573005.11223634,700002.396920973,624837.854968013
"121",123,576940.827864369,705385.776499292,629327.738047937
"122",124,579867.025081919,709136.777716503,632568.514080709
"123",125,582373.068805039,712532.463792501,635412.839684221
"124",126,585407.504723132,716442.522574443,638777.724262015
"125",127,588175.826847926,720143.714446275,641900.478805117
"126",128,595926.027139914,728886.738068404,650028.354620345
"127",129,599842.315907186,733683.272286135,654279.111751429
"128",130,605152.869102027,740667.631404203,660231.210868132
"129",131,607809.333430526,744226.903774454,663231.547124983
"130",132,610217.250498102,747569.735737207,665993.811168836
"131",133,612424.565229882,750605.278702145,668513.579653088
"132",134,615416.675508273,754568.334556425,671873.65172287
"133",135,618853.468258753,758994.827437073,675684.708703208
"134",136,622364.890938603,763450.472250213,679555.476001329
"135",137,626133.215889975,768942.880687636,683983.000213929
"136",138,629044.171309838,772888.277980731,687287.696533436
"137",139,631612.078863043,776345.427543881,690193.893267927
"138",140,634621.616445786,780204.720302536,693524.052914558
"139",141,637723.227622574,784377.550319868,697030.093269436
"140",142,641046.601928815,788751.460303183,700751.077427541
"141",143,644894.989527354,793775.946639838,705043.546764105
"142",144,648846.870156883,798966.449111024,709468.520930476
"143",145,652565.765687707,803862.432265155,713636.175276054
"144",146,655884.907673664,808156.966545258,717326.760592501
"145",147,659180.51850675,812443.808362517,720995.957518436
"146",148,662721.194492073,816754.089753562,724825.127264419
"147",149,666676.961171717,821860.828118435,729217.060552462
"148",150,670394.882594763,826823.07726965,733405.869489834
"149",151,674099.061278815,831577.486483343,737506.674247369
"150",152,677284.288161486,835917.78992248,741128.784183613
"151",153,680464.86344064,840086.054150874,744682.199407506
"152",154,683955.933040036,844591.381159154,748554.456764753
"153",155,687749.759000308,849459.425920788,752756.059804619
"154",156,691156.288263607,854074.220394865,756622.491928636
"155",157,696195.686230076,860282.442375095,762109.106683438
"156",158,699480.586992066,864750.647853252,765850.170319235
"157",159,702466.190800801,868756.023389722,769227.635097398
"158",160,709325.326345105,876806.763837721,776560.103202946
"159",161,727123.326345105,894604.763837721,794358.103202946
