"","date","low_bound","up_bound","cumcase_predicted"
"109",111,12407168.0575922,3402847821.49661,161030538.918194
"110",112,12949538.3781305,4041074786.3459,177690098.332567
"111",113,13460825.4415292,4579528752.41365,192458929.108341
"112",114,14023876.6381689,5262504385.12711,209719556.82102
"113",115,14584677.32845,5949453572.50957,227039758.348018
"114",116,15188749.5577824,6805429311.62796,246769331.461039
"115",117,15672976.6040901,7596913362.19256,263940145.263412
"116",118,16214183.2354377,8343407569.13043,281691834.027363
"117",119,16951139.9634987,9721696190.88825,309488587.644124
"118",120,17677359.8088105,11125445402.0364,337291027.439903
"119",121,18423487.6135554,12737956587.864,367400139.958114
"120",122,19289605.8331736,14714543831.781,403278722.282311
"121",123,20279710.1592583,17041296805.6178,443500084.154686
"122",124,21020405.9318997,19254461872.9126,478302353.706266
"123",125,21764809.5033646,21057298738.6974,509976315.002725
"124",126,22633542.1065292,23659596410.7444,550799943.096474
"125",127,23600688.4510491,27679589353.9811,603942412.056811
"126",128,25069377.4795703,33201009046.9462,682264435.63056
"127",129,26225522.3301385,38606318575.452,750297241.26182
"128",130,27863982.7490292,44369801234.8316,832101003.347429
"129",131,28926211.1791138,49603660098.5221,895434382.501483
"130",132,30040319.985098,54251475506.2978,957992221.704126
"131",133,31188505.9265932,61322516135.9995,1034610356.08623
"132",134,32580259.5460648,70069596975.272,1128258747.52557
"133",135,34082108.3064693,77977900911.3973,1223883545.59889
"134",136,35788177.1970512,95523609411.9196,1370166103.77154
"135",137,38108177.1912062,109801751094.489,1523678295.66889
"136",138,39828811.4607979,123023236079.598,1653579870.62633
"137",139,41558162.5171509,141769966056.353,1807246997.59113
"138",140,43454881.3475619,164634935403.375,1985251765.23882
"139",141,45674895.8897807,187799129309.983,2181654396.84289
"140",142,48150991.7619706,227399645041.006,2445215129.63017
"141",143,50970476.4994823,259620687263.212,2711332228.47223
"142",144,54112378.8635938,315585925716.02,3068813166.33926
"143",145,57286865.1020682,379732380192.408,3451748087.62266
"144",146,60302601.4705916,449755603088.445,3847350849.05679
"145",147,63524870.2356197,517821031433.493,4254513206.04613
"146",148,66768563.3622941,621126033286.916,4753490456.57475
"147",149,71019248.4618754,749607117493.268,5381339830.06512
"148",150,75271736.3862092,808809887616.773,5877353068.01101
"149",151,79579583.3229373,957975726935.228,6561494440.63352
"150",152,84085566.0834447,1114895237113.44,7275004262.00125
"151",153,88694588.2194976,1311044827901.47,8097469786.15216
"152",154,93656509.0525192,1478324090298.78,8911997160.36764
"153",155,99888654.2428703,2000422328382.39,10433685731.3525
"154",156,106206947.858735,2391795877306.47,11766179016.4505
"155",157,113398367.450708,2836688154463.29,13314400530.4788
"156",158,120085972.740981,3239548351531.04,14749241992.0405
"157",159,126308139.004127,3686759476022.53,16193527668.0813
"158",160,134462784.990204,4250869752389.46,18165285521.591
"159",161,141768924.789613,4837322935228.62,19989423111.6471
