"","date","low_bound","up_bound","cumcase_predicted"
"106",108,610717.535025984,1112104.76427486,775505.999123141
"107",109,616202.37276952,1122619.60323938,782490.985341272
"108",110,620971.36641439,1131360.7460281,788419.962318029
"109",111,627419.922513064,1141857.16604076,796012.739480684
"110",112,633137.864265669,1152200.42230134,803046.724096021
"111",113,637767.182181229,1161743.9470398,809091.644582849
"112",114,643500.339883666,1172434.99489216,816261.425429727
"113",115,648779.432755764,1182503.84472118,822919.692792828
"114",116,653590.442023228,1193048.80083895,829453.304384381
"115",117,656940.513478042,1200454.82571439,833982.018807554
"116",118,661037.725687669,1208859.3312206,839312.682501449
"117",119,665620.376749753,1218967.1100244,845462.520603645
"118",120,670144.211202597,1228799.73105482,851521.354384767
"119",121,674162.700044733,1238257.59830616,857107.189979977
"120",122,679650.708541735,1249283.85311341,864203.922577648
"121",123,684780.425194005,1262310.535137,871742.797404447
"122",124,688361.76942163,1270590.64125878,876710.626014487
"123",125,691586.535729625,1278882.84222211,881439.668399458
"124",126,695310.599689867,1287829.13669807,886670.310463324
"125",127,698819.325902493,1296767.65660983,891764.46805217
"126",128,707358.872902689,1311065.37401701,901989.445320407
"127",129,711968.877618423,1320836.22620046,908101.031591973
"128",130,718681.970605543,1336514.25330702,917590.456986871
"129",131,722065.060543363,1344996.56726105,922496.985518244
"130",132,725226.881755494,1353518.75528885,927257.287648733
"131",133,728081.300331494,1361318.44539333,931547.571038619
"132",134,731843.5533656,1370745.52644693,936975.527609268
"133",135,736062.040496104,1380781.0769859,942897.135006248
"134",136,740318.337464976,1390526.04254102,948758.866662308
"135",137,745533.357570717,1405178.38913056,956873.580074394
"136",138,749284.801493393,1414794.78748689,962379.767147943
"137",139,752561.623730046,1423209.5783041,967175.479369837
"138",140,756238.159527074,1431986.15110876,972329.470463243
"139",141,760192.230436963,1442189.80733543,978133.718036494
"140",142,764353.137968331,1452476.42075899,984107.033555437
"141",143,769144.582926904,1464151.60571479,990930.843416374
"142",144,774107.776273598,1475962.05292337,997979.305296467
"143",145,778775.424533858,1487177.88797216,1004625.08172289
"144",146,782872.540631005,1496791.34554926,1010375.55577343
"145",147,786952.075149056,1506751.23386909,1016180.26392927
"146",148,791071.858177754,1515647.33319375,1021663.27016868
"147",149,795919.563783012,1527227.29465223,1028484.06360012
"148",150,800622.010931222,1539118.88629959,1035328.79932396
"149",151,805156.8515182,1549775.51675647,1041682.66038581
"150",152,809250.480426736,1560500.7936088,1047755.24722485
"151",153,813201.26468615,1570252.62231163,1053424.88681942
"152",154,817465.350147728,1580732.80298052,1059492.13764191
"153",155,822069.678525755,1591644.79855456,1065971.4808724
"154",156,826392.870984682,1602922.22729513,1072369.38281276
"155",157,832313.367191307,1615486.60325031,1080284.16063574
"156",158,836481.133307448,1626288.25930343,1086469.15567935
"157",159,840244.744637412,1635748.24178567,1091957.79591613
"158",160,848020.236590718,1649693.74841758,1101654.77158682
"159",161,852490.889106597,1660222.0961837,1107953.60562857
