"","date","low_bound","up_bound","cumcase_predicted"
"106",108,588016.149229506,780359.126840878,665412.495265907
"107",109,593314.612230208,787391.402128384,671369.502372326
"108",110,597942.073725472,793357.468588278,676499.83761025
"109",111,604255.182930965,800987.560211322,683299.029624281
"110",112,609815.620826784,808064.202073589,689422.026123419
"111",113,614275.046864295,814154.7851634,694488.517076558
"112",114,619834.367620187,821370.671934476,700667.111795832
"113",115,624948.23736406,828073.441311918,706371.803066027
"114",116,629546.589966443,834661.378623669,711723.426798431
"115",117,632754.577910314,839227.959084212,715438.457938124
"116",118,636705.424569421,844598.668696556,719914.443858635
"117",119,641103.249540437,850799.670019632,724976.501922679
"118",120,645442.649558691,856907.930230141,729974.846541432
"119",121,649273.540558492,862544.35691417,734476.836110619
"120",122,654567.825472614,869692.785689829,740462.984438984
"121",123,659398.042798175,877307.091095998,746352.86246448
"122",124,662810.768432178,882319.099164213,750366.154201857
"123",125,665852.410338142,887095.931934027,754060.300989242
"124",126,669396.800840202,892375.172839767,758249.128013332
"125",127,672714.464763275,897520.07298202,762249.913312011
"126",128,681050.778377567,907798.883055185,771313.348005166
"127",129,685481.073592847,913958.575097817,776388.892518298
"128",130,691846.17350426,923534.202043086,783982.897048345
"129",131,695043.872726819,928488.953775265,787842.461675905
"130",132,698012.622474165,933300.002597791,791502.587474502
"131",133,700697.260296938,937636.502713849,794799.811214107
"132",134,704259.543339742,943117.556643488,799079.585390437
"133",135,708274.64641403,949093.668565034,803825.761411226
"134",136,712337.591739418,955006.707257659,808580.621679521
"135",137,717193.535834247,963211.781732761,814712.215676974
"136",138,720731.538206533,968773.445379813,819012.369389288
"137",139,723825.935238382,973617.481176468,822761.789033813
"138",140,727327.92564434,978819.05944928,826893.774122574
"139",141,731060.961335069,984682.337440003,831422.28128991
"140",142,735005.16574971,990713.37055138,836146.739575257
"141",143,739553.698986346,997601.874162529,841570.012944814
"142",144,744260.867443827,1004715.62869075,847190.066620694
"143",145,748685.806238018,1011423.61267359,852479.180902197
"144",146,752582.778169109,1017226.29570734,857093.682517107
"145",147,756458.172172938,1023086.07866753,861708.023703218
"146",148,760421.225245022,1028613.27878014,866245.156916614
"147",149,765034.170478455,1035496.9395991,871705.582646344
"148",150,769480.428997458,1042409.55071543,877075.653127579
"149",151,773799.21204017,1048821.19831395,882175.92099664
"150",152,777654.212263504,1054956.49315817,886886.795210358
"151",153,781401.556657884,1060680.85430819,891370.716365097
"152",154,785457.452106466,1066806.20824072,896188.152326534
"153",155,789842.048097795,1073345.17327045,901373.842652535
"154",156,793917.170987634,1079808.82514239,906343.563558559
"155",157,799598.427734372,1087786.52405527,912887.509532626
"156",158,803524.804896004,1094034.69013405,917688.909979032
"157",159,807079.872196783,1099577.56767791,921993.686783267
"158",160,814618.467518885,1109333.69204884,930381.893757053
"159",161,818875.162119518,1115690.07664714,935424.014706765
